vertex,color
1,2
2,1
3,4
4,3
5,4
6,1
7,2
8,3
9,4
10,1
11,4
12,2
13,1
14,1
15,2
16,3
17,2
18,1
19,3
20,4
21,1
22,1
23,4
24,3
25,2
26,4
27,2
28,3
29,1
30,1
31,3
32,2
33,1
34,1
35,2
36,1
37,4
38,3
39,4
40,2
41,3
42,1
43,4
44,3
45,4
46,2
47,3
48,3
49,2
50,3
51,1
52,3
53,2
54,4
55,3
56,3
57,1
58,2
59,1
60,2
61,4
62,3
63,3
64,1
65,2
66,4
67,1
68,3
69,2
70,2
71,4
72,3
73,2
74,1
75,2
76,4
77,2
78,4
79,4
80,2
81,1
82,4
83,4
84,1
85,4
86,4
87,1
88,1
89,1
90,1
91,1
92,2
93,3
94,4
95,3
96,3
97,4
98,4
99,3
100,3
101,2
102,3
103,2
104,3
105,4
106,2
107,4
108,4
109,3
110,1
111,4
112,1
113,2
114,2
115,2
116,3
117,3
118,3
119,1
120,1
121,3
122,1
123,3
124,1
125,4
126,4
127,3
128,2
129,2
130,2
131,2
132,2
133,4
134,3
135,4
136,1
137,4
138,3
139,1
140,1
141,4
142,1
143,4
144,4
145,1
146,4
147,2
148,1
149,3
150,2
151,3
152,2
153,3
154,2
155,1
156,4
157,2
158,2
159,3
160,4
