vertex,color
1,3
2,1
3,4
4,2
5,3
6,2
7,4
8,4
9,3
10,2
11,4
12,3
13,1
14,3
15,1
16,3
17,2
18,2
19,2
20,3
21,4
22,4
23,1
24,4
25,3
26,3
27,3
28,3
29,1
30,2
31,2
32,1
33,1
34,2
35,1
36,1
37,2
38,1
39,2
40,4
41,2
42,2
43,3
44,1
45,4
46,2
47,1
48,1
49,2
50,1
51,1
52,1
53,4
54,2
55,1
56,3
57,2
58,2
59,4
60,3
61,3
62,3
63,3
64,3
65,1
66,2
67,4
68,3
69,1
70,1
71,4
72,4
73,2
74,4
75,1
76,2
77,4
78,2
79,4
80,2
81,4
82,2
83,4
84,1
85,2
86,2
87,2
88,4
89,1
90,2
91,1
92,1
93,1
94,4
95,4
96,4
97,1
98,4
99,1
100,1
101,4
102,1
103,3
104,3
105,2
106,2
107,1
108,2
109,4
110,3
111,4
112,4
113,3
114,2
115,4
116,4
117,3
118,3
119,2
120,1
121,3
122,2
123,3
124,3
125,2
126,3
127,3
128,4
129,1
130,1
131,3
132,1
133,1
134,1
135,4
136,2
137,1
138,3
139,1
140,4
141,1
142,1
143,4
144,2
145,3
146,4
147,3
148,2
149,1
150,4
151,4
152,1
153,1
154,2
155,4
156,2
157,3
158,1
159,1
160,3
161,4
162,4
163,4
164,3
165,3
166,3
167,4
168,1
169,1
170,2
171,1
172,4
173,3
174,4
175,4
176,4
177,3
178,1
179,3
180,3
181,4
182,4
183,3
184,4
185,1
186,4
187,2
188,3
189,2
190,4
191,4
192,2
193,4
194,2
195,1
196,4
197,2
198,3
199,3
200,2
201,4
202,3
203,3
204,2
205,1
206,4
207,3
208,1
209,3
210,4
211,3
212,4
213,4
214,2
215,1
216,4
217,2
218,4
219,1
220,4
