vertex,color
1,4
2,3
3,2
4,1
5,3
6,2
7,4
8,4
9,1
10,4
11,2
12,2
13,3
14,3
15,4
16,2
17,4
18,3
19,1
20,1
21,1
22,4
23,2
24,3
25,3
26,3
27,2
28,2
29,2
30,3
31,2
32,4
33,1
34,2
35,1
36,4
37,1
38,2
39,1
40,1
41,4
42,1
43,4
44,4
45,1
46,2
47,4
48,2
49,4
50,3
51,1
52,1
53,3
54,2
55,2
56,2
57,3
58,2
59,4
60,1
61,4
62,3
63,2
64,3
65,1
66,4
67,2
68,1
69,3
70,2
71,4
72,2
73,4
74,3
75,1
76,4
77,1
78,3
79,2
80,2
81,4
82,2
83,1
84,3
85,1
86,3
87,3
88,2
89,4
90,1
91,3
92,2
93,2
94,2
95,2
96,3
97,3
98,4
99,1
100,4
101,1
102,2
103,1
104,4
105,4
106,3
107,3
108,3
109,2
110,1
111,2
112,4
113,4
114,3
115,2
116,3
117,2
118,4
119,2
120,2
