vertex,color
1,2
2,3
3,5
4,1
5,4
6,2
7,3
8,5
9,1
10,4
11,2
12,3
13,5
14,1
15,1
16,2
17,3
18,5
19,1
20,1
21,2
22,3
23,5
24,1
25,4
26,2
27,3
28,5
29,1
30,1
31,2
32,3
33,5
34,1
35,4
36,2
37,3
38,5
39,1
40,4
41,2
42,3
43,5
44,1
45,1
46,2
47,3
48,5
49,4
50,4
51,2
52,3
53,5
54,4
55,1
56,2
57,3
58,5
59,4
60,4
61,2
62,3
63,5
64,4
65,4
66,2
67,3
68,5
69,4
70,4
71,2
72,3
73,5
74,1
75,4
76,2
77,3
78,5
79,1
80,1
81,2
82,3
83,5
84,4
85,4
86,2
87,3
88,5
89,4
90,4
91,2
92,3
93,5
94,4
95,4
96,2
97,3
98,5
99,1
100,4
101,2
102,3
103,5
104,1
105,1
106,2
107,3
108,5
109,1
110,1
111,2
112,3
113,5
114,1
115,4
116,2
117,3
118,5
119,1
120,1
121,2
122,3
123,5
124,1
125,4
126,2
127,3
128,5
129,1
130,4
131,2
132,3
133,5
134,1
135,1
136,2
137,3
138,5
139,1
140,4
141,2
142,3
143,5
144,1
145,1
146,2
147,3
148,5
149,1
150,4
151,2
152,3
153,5
154,1
155,4
156,2
157,3
158,5
159,4
160,4
161,2
162,3
163,5
164,4
165,4
166,2
167,3
168,5
169,4
170,1
171,2
172,3
173,5
174,4
175,4
176,2
177,3
178,5
179,4
180,4
181,2
182,3
183,5
184,1
185,4
186,2
187,3
188,5
189,1
190,4
191,2
192,3
193,5
194,1
195,1
196,2
197,3
198,5
199,4
200,1
201,2
202,3
203,5
204,4
205,4
206,2
207,3
208,5
209,1
210,1
211,2
212,3
213,5
214,1
215,4
216,2
217,3
218,5
219,1
220,4
221,2
222,3
223,5
224,1
225,1
226,2
227,3
228,5
229,1
230,4
231,2
232,3
233,5
234,1
235,1
236,2
237,3
238,5
239,1
240,4
241,2
242,3
243,5
244,1
245,4
246,2
247,3
248,5
249,1
250,4
251,2
252,3
253,5
254,1
255,4
256,2
257,3
258,5
259,1
260,1
261,2
262,3
263,5
264,1
265,4
266,2
267,3
268,5
269,1
270,4
271,2
272,3
273,5
274,4
275,4
276,2
277,3
278,5
279,4
280,4
281,2
282,3
283,5
284,4
285,1
286,2
287,3
288,5
289,4
290,1
291,2
292,3
293,5
294,4
295,4
296,2
297,3
298,5
299,1
300,1
301,2
302,3
303,5
304,1
305,4
306,2
307,3
308,5
309,4
310,4
311,2
312,3
313,5
314,4
315,1
316,2
317,3
318,5
319,4
320,4
321,2
322,3
323,5
324,1
325,1
326,2
327,3
328,5
329,1
330,4
331,2
332,3
333,5
334,1
335,4
336,2
337,3
338,5
339,1
340,4
341,2
342,3
343,5
344,1
345,4
346,2
347,3
348,5
349,1
350,1
351,2
352,3
353,5
354,1
355,4
356,2
357,3
358,5
359,1
360,4
361,2
362,3
363,5
364,1
365,4
366,2
367,3
368,5
369,1
370,4
371,2
372,3
373,5
374,1
375,1
376,2
377,3
378,5
379,1
380,1
381,2
382,3
383,5
384,4
385,4
386,2
387,3
388,5
389,4
390,1
391,2
392,3
393,5
394,4
395,4
396,2
397,3
398,5
399,4
400,4
401,2
402,3
403,5
404,4
405,1
406,2
407,3
408,5
409,1
410,4
411,2
412,3
413,5
414,1
415,1
416,2
417,3
418,5
419,1
420,4
421,2
422,3
423,5
424,4
425,4
426,2
427,3
428,5
429,4
430,4
431,2
432,3
433,5
434,1
435,4
436,2
437,3
438,5
439,1
440,1
441,2
442,3
443,5
444,1
445,4
446,2
447,3
448,5
449,1
450,4
