vertex,color
1,1
2,4
3,3
4,2
5,1
6,4
7,3
8,2
9,4
10,3
11,3
12,4
13,2
14,1
15,2
16,2
17,1
18,4
19,3
20,3
21,2
22,3
23,3
24,1
25,4
26,1
27,1
28,2
29,2
30,3
31,4
32,2
33,3
34,4
35,4
36,4
37,2
38,1
39,3
40,3
41,1
42,2
43,1
44,2
45,2
46,4
47,2
48,2
49,1
50,4
51,2
52,4
53,1
54,1
55,1
56,3
57,1
58,3
59,3
60,1
61,1
62,3
63,2
64,1
65,2
66,3
67,3
68,4
69,4
70,2
71,4
72,2
73,3
74,3
75,1
76,4
77,3
78,3
79,1
80,4
81,2
82,3
83,4
84,3
85,2
86,2
87,1
88,3
89,4
90,1
91,1
92,1
93,4
94,3
95,3
96,4
97,2
98,3
99,4
100,1
101,4
102,1
103,4
104,2
105,1
106,3
107,3
108,3
109,4
110,3
111,1
112,4
113,2
114,3
115,4
116,4
117,4
118,2
119,1
120,1
121,2
122,4
123,3
124,3
125,4
126,2
127,4
128,3
129,1
130,1
131,1
132,1
133,2
134,2
135,1
136,2
137,3
138,4
139,3
140,1
141,1
142,3
143,1
144,2
145,4
146,2
147,1
148,4
149,2
150,3
151,4
152,1
153,4
154,4
155,1
156,1
157,2
158,1
159,4
160,1
161,3
162,2
163,3
164,3
165,1
166,2
167,2
168,3
169,3
170,1
171,2
172,3
173,2
174,1
175,1
176,4
177,3
178,4
179,2
180,4
181,3
182,3
183,4
184,2
185,3
186,1
187,3
188,3
189,1
190,2
191,4
192,3
193,1
194,1
195,3
196,3
197,1
198,4
199,2
200,3
201,4
202,1
203,4
204,2
205,3
206,1
207,2
208,4
209,2
210,3
211,3
212,1
213,2
214,3
215,2
216,2
217,2
218,3
219,4
220,1
221,1
222,1
223,2
224,2
225,4
226,4
227,1
228,2
229,1
230,2
231,4
232,4
233,3
234,2
235,2
236,2
237,2
238,4
239,2
240,4
241,1
242,2
243,2
244,2
245,1
246,4
247,4
248,2
249,4
250,2
251,3
252,3
253,1
254,1
255,2
256,1
257,3
258,2
259,4
260,3
261,4
262,1
263,2
264,4
265,3
266,4
267,4
268,1
269,3
270,1
271,4
272,4
273,4
274,1
275,4
276,4
277,1
278,3
279,4
280,3
281,4
282,4
283,2
284,2
285,4
286,2
287,3
288,1
289,3
290,4
291,2
292,3
293,1
294,2
295,2
296,4
297,4
298,3
299,4
300,4
301,1
302,4
303,1
304,4
305,1
306,4
307,2
308,2
309,2
310,4
311,3
312,1
313,3
314,3
315,1
316,1
317,4
318,3
319,2
320,3
321,4
322,2
323,3
324,1
325,4
326,2
327,4
328,2
329,3
330,1
331,2
332,4
333,1
334,4
335,3
336,4
337,3
338,2
339,3
340,2
341,1
342,1
343,4
344,3
345,2
346,3
347,2
348,4
349,1
350,1
351,1
352,3
353,4
354,1
355,4
356,4
357,1
358,3
359,3
360,4
361,2
362,3
363,1
364,4
365,1
366,1
367,1
368,3
369,2
370,3
371,2
372,2
373,3
374,4
375,2
376,4
377,1
378,3
379,2
380,2
381,1
382,2
383,1
384,4
385,2
386,1
387,1
388,1
389,3
390,4
391,4
392,4
393,2
394,3
395,2
396,3
397,2
398,3
399,3
400,2
